FINANCIALS_ID,STOCK_SYMBOL,FISCAL_YEAR,REVENUE,PROFIT,OPERATING_INCOME,NET_INCOME,ASSETS,EQUITY
131,NUE,2020,0.00,0.00,835.00,721.00,20125.00,10788.00
132,ORCL,0,40479.00,0.00,0.00,0.00,0.00,0.00
133,ORCL,2022,0.00,0.00,10930.00,6720.00,109300.00,0.00
134,PAA,2020,0.00,0.00,0.00,2590.00,24497.00,9738.00
135,PAA,0,42078.00,0.00,0.00,0.00,0.00,0.00
136,PEP,2020,0.00,0.00,10290.00,0.00,0.00,0.00
137,PEP,2019,0.00,0.00,0.00,7353.00,78550.00,14870.00
138,PEP,0,79474.00,0.00,0.00,0.00,0.00,0.00
139,PFE,0,81288.00,21979.00,0.00,0.00,0.00,0.00
140,PFE,2021,0.00,0.00,22460.00,21980.00,181480.00,77460.00
141,PG,2021,0.00,0.00,18790.00,14310.00,119300.00,46650.00
142,PG,0,76118.00,0.00,0.00,0.00,0.00,0.00
143,PGR,0,47702.00,0.00,0.00,0.00,0.00,0.00
144,PGR,2020,0.00,0.00,7173.00,5704.00,64098.00,17038.00
145,PRU,0,70934.00,0.00,0.00,0.00,0.00,0.00
146,PRU,2020,0.00,0.00,0.00,0.00,940722.00,68210.00
147,PSX,2019,0.00,0.00,0.00,3076.00,58720.00,0.00
148,PSX,0,114852.00,0.00,0.00,0.00,0.00,0.00
149,RTX,0,64388.00,0.00,0.00,0.00,0.00,0.00
150,RTX,2021,0.00,0.00,4960.00,3860.00,161400.00,74660.00
151,SNEX,2020,0.00,0.00,0.00,169.60,0.00,0.00
152,SNEX,0,42534.00,0.00,0.00,0.00,0.00,0.00
153,SYY,2017,0.00,0.00,2053.00,1143.00,17757.00,2382.00
154,SYY,0,51298.00,0.00,0.00,0.00,0.00,0.00
155,T,2021,0.00,0.00,23350.00,20080.00,551620.00,183860.00
156,T,0,168864.00,20081.00,0.00,0.00,0.00,0.00
157,TGT,2021,0.00,0.00,6539.00,4368.00,51248.00,14440.00
158,TGT,0,106005.00,0.00,0.00,0.00,0.00,0.00
159,TJX,0,48550.00,0.00,0.00,0.00,0.00,0.00
160,TJX,2018,0.00,0.00,4170.00,3060.00,14326.00,5050.00
161,TMO,0,39211.00,0.00,0.00,0.00,0.00,0.00
162,TMO,2021,0.00,0.00,10030.00,7730.00,95120.00,40790.00
163,TSLA,0,53823.00,0.00,0.00,0.00,0.00,0.00
164,TSLA,2021,0.00,0.00,6520.00,5520.00,62100.00,30200.00
165,TSN,0,47049.00,0.00,0.00,0.00,0.00,0.00
166,UNH,0,287597.00,17285.00,0.00,0.00,0.00,0.00
167,UNH,2021,0.00,0.00,21646.00,17285.00,212206.00,75045.00
168,UPS,2021,0.00,0.00,12810.00,12890.00,69410.00,14250.00
169,UPS,0,97287.00,0.00,0.00,0.00,0.00,0.00
170,VLO,2018,0.00,0.00,4572.00,4156.00,50158.00,21667.00
171,VLO,0,108332.00,0.00,0.00,0.00,0.00,0.00
172,VZ,0,133613.00,0.00,0.00,0.00,0.00,0.00
173,VZ,2021,0.00,0.00,32450.00,22620.00,366600.00,83200.00
174,WBA,0,148579.00,0.00,0.00,0.00,0.00,0.00
175,WBA,2021,0.00,0.00,2300.00,2500.00,81300.00,23800.00
176,WFC,0,82407.00,21548.00,0.00,0.00,0.00,0.00
177,WFC,2021,0.00,0.00,28820.00,21548.00,0.00,190100.00
178,WMT,0,572754.00,0.00,0.00,0.00,0.00,0.00
179,WMT,2022,0.00,0.00,25900.00,13670.00,244860.00,91891.00
180,XOM,0,285640.00,0.00,0.00,0.00,0.00,0.00
181,XOM,2021,0.00,0.00,24019.00,23040.00,338923.00,168577.00
