,Name,Symbol,Revenue(USD Millions),Revenue_Growth,Employees,City,State,Industry_1,Industry_2,Operating_Income_Amount,Operating_Income_FY,Net_Income_Amount,Net_Income_FY,Assets_Amount,Assets_FY,Equity_Amount,Equity_FY,Profit
87,Plains All American Pipeline,PAA,42078,0.81,"4,100",Houston,TX,Petroleum industry,,,,2590.0,2020,24497.0,2020,9738.0,2020,
88,Enterprise Products,EPD,40807,0.5,"6,911",Houston,TX,Petroleum industry,,6103.0,2021,4755.0,2021,67525.0,2021,26438.0,2021,
89,TIAA,Null,40526,0.03,"15,065",New York City,NY,Insurance,,,,1492.0,2016,615042.0,2020,38871.0,2020,
90,Oracle Corporation,ORCL,40479,0.04,"132,000",Austin,TX,Software,,10930.0,2022,6720.0,2022,109300.0,2022,-6220.0,2022,
91,Thermo Fisher Scientific,TMO,39211,0.22,"129,000",Waltham,MA,Laboratory instruments,,10030.0,2021,7730.0,2021,95120.0,2021,40790.0,2021,
92,Coca-Cola Company,KO,38655,0.17,"79,000",Atlanta,GA,Beverages,,10090.0,2019,8920.0,2019,86380.0,2019,18980.0,2019,
93,General Dynamics,GD,38469,0.09,"103,100",Reston,VA,Airspace , defense,4160.0,2021,3260.0,2021,50070.0,2021,17640.0,2021,
94,CHS,CHSCP,38448,0.01,"9,941",Inver Grove Heights,MN,Agriculture cooperative,,515.3,2021,554.0,2021,7998.0,2021,9017.0,2021,
95,USAA,Null,37470,0.03,"37,335",San Antonio,TX,Financials,,,,4006.0,2019,200000.0,2020,35327.0,2019,
96,Northwestern Mutual,Null,36751,0.09,"7,585",Milwaukee,WI,Insurance,,,,425.0,2020,,,,,
97,Nucor,NUE,36484,0.81,"28,800",Charlotte,NC,Metals,,835.0,2020,721.0,2020,20125.0,2020,10788.0,2020,
98,Exelon,EXC,36347,0.1,"31,518",Chicago,IL,Electrical Power,,2723.0,2021,1829.0,2021,133013.0,2021,34795.0,2021,
